antigen,pos,med,ciL,ciU
DENV1,neg,0.01410565,-0.013025675,0.041365905
CHIKV,neg,0.0133947,-0.013274718,0.041169898
JEV,neg,0.169873,0.14199285,0.19784365
DENV2,neg,0.1329635,0.105677675,0.159579625
DENV3,neg,0.130919,0.102719525,0.158223075
DENV4,neg,0.1005185,0.073326178,0.1276102
WNV,neg,0.1336915,0.105184875,0.161472075
TBEV,neg,-0.108432,-0.13506665,-0.08111111
YFV,neg,-0.1770865,-0.2034497,-0.150123325
ZIKV,neg,0.32462,0.2990697,0.3500244
DENV_ELISA,neg,-0.295015,-0.367447225,-0.22283175
CHIKV,DENV1,0.0279275,-0.003700113,0.066453662
JEV,DENV1,0.2006955,0.160975975,0.247361975
DENV2,DENV1,0.6493405,0.595891975,0.7000714
DENV3,DENV1,1.66171,1.5872675,1.737121
DENV4,DENV1,0.6355835,0.58364555,0.685428425
WNV,DENV1,0.1638305,0.125055975,0.21126055
TBEV,DENV1,-0.06326825,-0.104643625,-0.016419225
YFV,DENV1,0.05543865,0.008653434,0.104972725
ZIKV,DENV1,0.333088,0.30515825,0.36306515
DENV_ELISA,DENV1,3.5093,3.45539475,3.56084375
DENV1,CHIKV,0.0345511,-0.002199751,0.083368358
JEV,CHIKV,0.195025,0.1577977,0.248430975
DENV2,CHIKV,0.1539365,0.119948325,0.1996593
DENV3,CHIKV,0.2281835,0.1725954,0.28318625
DENV4,CHIKV,0.105906,0.078014548,0.136218575
WNV,CHIKV,0.155708,0.119909025,0.200980375
TBEV,CHIKV,-0.100572,-0.129772475,-0.06799323
YFV,CHIKV,-0.169869,-0.1978852,-0.1403819
ZIKV,CHIKV,0.3374635,0.308231575,0.372642775
DENV_ELISA,CHIKV,-0.197443,-0.41817775,0.03498413
JEV,DENV1&CHIKV,0.2272795,0.179176825,0.2881475
DENV2,DENV1&CHIKV,0.6714265,0.6171528,0.73023765
DENV3,DENV1&CHIKV,1.759505,1.67410675,1.84204075
DENV4,DENV1&CHIKV,0.6416225,0.589077375,0.69258615
WNV,DENV1&CHIKV,0.186854,0.143474525,0.242332275
TBEV,DENV1&CHIKV,-0.0553403,-0.098784665,-0.005902679
YFV,DENV1&CHIKV,0.0627846,0.01582271,0.1127378
ZIKV,DENV1&CHIKV,0.3460885,0.3144398,0.384082125
DENV_ELISA,DENV1&CHIKV,3.5093,3.45539475,3.56084375
DENV1,JEV,0.222283,0.170252925,0.276766725
CHIKV,JEV,0.138995,0.08739622,0.191967725
DENV2,JEV,0.176767,0.13446895,0.22504665
DENV3,JEV,0.240291,0.1906832,0.292129225
DENV4,JEV,0.1994995,0.14964025,0.24957465
WNV,JEV,1.3041,1.21441875,1.3994205
TBEV,JEV,0.04548385,-0.004754663,0.096358667
YFV,JEV,0.0890163,0.038652118,0.142340075
ZIKV,JEV,0.470675,0.423250075,0.52087
DENV_ELISA,JEV,1.81852,1.7017295,1.93919125
CHIKV,DENV1&JEV,0.1531785,0.099426915,0.212012075
DENV2,DENV1&JEV,0.6927395,0.6316972,0.7598217
DENV3,DENV1&JEV,1.77163,1.68753775,1.861823
DENV4,DENV1&JEV,0.73412,0.669368125,0.801464425
WNV,DENV1&JEV,1.33563,1.2400045,1.43679725
TBEV,DENV1&JEV,0.0914143,0.029582068,0.155466225
YFV,DENV1&JEV,0.321395,0.2619112,0.388402625
ZIKV,DENV1&JEV,0.47917,0.43023665,0.5303812
DENV_ELISA,DENV1&JEV,3.5093,3.45539475,3.56084375
DENV1,CHIKV&JEV,0.2434025,0.18587985,0.3097338
DENV2,CHIKV&JEV,0.1986975,0.149034025,0.257827875
DENV3,CHIKV&JEV,0.337706,0.2691507,0.407890775
DENV4,CHIKV&JEV,0.2051715,0.155126325,0.2569035
WNV,CHIKV&JEV,1.32773,1.2337245,1.42807325
TBEV,CHIKV&JEV,0.05382695,0.002506876,0.1066752
YFV,CHIKV&JEV,0.09620325,0.044552153,0.1510291
ZIKV,CHIKV&JEV,0.4842525,0.4337489,0.539154375
DENV_ELISA,CHIKV&JEV,1.81852,1.7017295,1.93919125
DENV2,DENV1&CHIKV&JEV,0.715198,0.650574825,0.7875765
DENV3,DENV1&CHIKV&JEV,1.86924,1.7755595,1.9638445
DENV4,DENV1&CHIKV&JEV,0.7397115,0.6744914,0.807793475
WNV,DENV1&CHIKV&JEV,1.359155,1.26166825,1.463066
TBEV,DENV1&CHIKV&JEV,0.09910585,0.0362203,0.164035025
YFV,DENV1&CHIKV&JEV,0.3282265,0.26745145,0.396472925
ZIKV,DENV1&CHIKV&JEV,0.4926795,0.441202325,0.5478185
DENV_ELISA,DENV1&CHIKV&JEV,3.5093,3.45539475,3.56084375
